serial,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,stations,cases,labels
0,34.05315068493151,24.47808219178082,28.70986301369863,39.75780821917809,25.317808219178083,32.306301369863014,22.971232876712328,73.50821917808219,2.92172602739726,44.65753424657535,4.360931506849314,0.0,0.0,15.678356164383562,175.59534246575342,1007.9117808219178,50.74794520547945,3.78986301369863,208.0978082191781,17.973698630136987,7.232876712328767,2.558904109589041,1.1972602739726028,4925.0,normal
1,34.086178861788625,25.69430894308943,29.464227642276423,41.33821138211382,28.140650406504054,34.42357723577236,23.48455284552845,72.06666666666668,3.7834146341463417,39.83739837398374,2.676747967479675,0.0,0.0,14.574796747967484,158.34959349593493,1003.5333333333332,48.31382113821138,2.884552845528455,222.9260162601626,19.246341463414637,7.504065040650406,1.6585365853658536,0.991869918699187,5077.0,normal
2,34.5739837398374,25.41788617886179,29.526829268292683,40.46422764227643,26.56016260162602,33.08536585365854,22.58048780487805,69.42439024390244,3.065853658536585,33.333333333333336,2.337804878048781,0.0,0.0,14.978048780487809,202.6211382113821,1005.7317073170732,55.62113821138211,4.2422764227642284,229.41300813008127,19.80243902439025,7.829268292682927,1.910569105691057,1.170731707317073,7579.0,normal
3,33.020325203252035,25.08048780487805,28.72764227642276,37.8780487804878,26.193495934959355,31.77235772357724,21.75203252032521,69.29756097560974,6.02520325203252,37.39837398373984,2.6766666666666667,0.0,0.0,16.50487804878049,183.5447154471545,1003.359349593496,50.208130081300816,2.9910569105691054,225.42195121951215,19.480487804878045,7.59349593495935,1.3008130081300813,0.1463414634146341,13706.0,normal
4,30.6609756097561,24.23089430894309,26.77479674796748,36.58699186991871,24.263414634146343,28.943902439024388,24.214634146341464,86.65203252032519,23.336585365853654,96.7479674796748,15.6169918699187,0.0,0.0,19.54634146341463,224.03008130081295,1009.9959349593496,45.54227642276423,3.8869918699186994,176.59837398373986,15.261788617886175,6.186991869918699,0.967479674796748,3.951219512195122,82.0,normal
5,28.279674796747965,20.695121951219512,23.81869918699187,29.50650406504065,20.695121951219512,24.056097560975616,19.927642276422763,80.49430894308942,4.219910569105691,85.36585365853658,9.89178861788618,0.0,0.0,22.116260162601627,225.81707317073167,0.0,59.769918699187,7.062601626016261,195.8479674796748,16.92520325203252,7.008130081300813,0.8536585365853658,0.983739837398374,9669.0,normal
6,32.06016260162601,25.72357723577236,28.496747967479678,38.9780487804878,27.621951219512194,33.21463414634147,24.82439024390244,81.69837398373986,6.349325203252033,46.34146341463415,3.89609756097561,0.0,0.0,15.234146341463417,147.41300813008127,1003.519512195122,57.92845528455285,3.2642276422764227,196.9,17.007317073170732,6.788617886178862,1.4471544715447155,0.0,6772.0,normal
7,34.237398373983744,26.5260162601626,29.847967479674804,41.38211382113822,28.377235772357725,34.90162601626016,24.558536585365854,74.81951219512196,8.959569105691058,54.47154471544715,4.810731707317073,0.0,0.0,25.482113821138213,210.03658536585365,1008.2121951219513,56.07073170731708,6.0560975609756085,169.02764227642277,14.573170731707316,5.967479674796748,0.5447154471544715,1.869918699186992,10342.0,normal
8,34.460975609756105,23.867479674796748,28.78780487804878,39.46341463414634,24.445528455284556,32.002439024390235,21.492682926829264,67.51463414634148,4.517886178861789,61.78861788617886,25.67764227642277,0.0,0.0,12.895121951219512,149.18699186991873,1003.9422764227642,29.597560975609756,2.5951219512195123,238.50243902439024,20.60081300813009,7.73170731707317,1.7560975609756098,1.0,12542.0,normal
9,30.769105691056915,23.066666666666663,26.31382113821138,36.357723577235774,23.066666666666663,28.114634146341466,24.06585365853659,88.39024390243901,11.597560975609756,91.869918699187,17.312439024390244,0.0,0.0,10.093495934959352,169.94227642276422,1010.1430894308944,78.59756097560975,3.722764227642276,208.9886178861789,18.0479674796748,7.382113821138211,2.4227642276422765,0.7642276422764228,150.0,normal
10,31.609756097560982,22.161788617886177,26.34552845528455,36.65528455284553,22.161788617886177,28.2260162601626,21.48861788617886,76.77154471544716,10.726016260162602,73.98373983739837,9.146666666666668,0.0,0.0,12.716260162601625,197.07886178861787,1003.1056910569106,46.30162601626016,2.072357723577236,225.86666666666665,19.509756097560977,7.487804878048781,3.008130081300813,0.0,4563.0,normal
11,30.70487804878049,26.14715447154472,28.330081300813006,37.62439024390243,27.428455284552847,32.75609756097561,24.94146341463415,82.69756097560976,25.566666666666663,79.67479674796748,9.993252032520324,0.0,0.0,24.59186991869919,222.15365853658537,1006.2479674796748,59.3260162601626,2.926016260162602,189.609756097561,16.368292682926832,6.544715447154472,1.7804878048780488,1.032520325203252,11011.0,normal
12,32.32032520325203,25.01788617886179,28.27073170731708,40.70081300813009,26.96666666666667,33.54715447154472,25.08292682926829,84.25934959349591,8.117073170731706,50.40650406504065,3.8286991869918703,0.0,0.0,14.633333333333336,150.1837398373984,1004.3032520325204,59.2260162601626,3.069918699186992,202.92195121951215,17.537398373983738,6.902439024390244,1.4146341463414631,0.5853658536585366,14092.0,normal
13,28.973333333333336,21.320000000000004,24.8,30.39333333333333,21.320000000000004,25.26,19.313333333333333,72.65333333333335,0.4066666666666666,14.286666666666669,4.722666666666667,0.0,0.0,19.52,64.52666666666667,1011.6866666666668,64.12666666666667,24.033333333333346,229.36666666666667,19.780000000000005,7.666666666666667,1.5333333333333334,0.9333333333333332,1714.0,normal
14,26.973333333333333,12.739999999999998,18.82,26.306666666666665,12.359999999999996,18.626666666666665,4.48,40.83333333333334,0.0066666666666666,4.44,0.2779999999999999,0.0,0.0,16.066666666666666,128.53333333333333,1013.3066666666668,10.74,23.24000000000001,212.53333333333336,18.26,7.533333333333333,0.1333333333333333,0.9333333333333332,4829.0,normal
15,40.1,26.1,32.9,44.8,26.1,35.2,19.7,50.0,2.3,100.0,37.5,0.0,0.0,13.3,228.8,995.8,29.2,1.9,315.9,27.3,9.0,4.0,0.0,8528.0,normal
16,41.2,20.4,33.3,43.1,20.4,35.0,18.8,47.8,52.0,100.0,4.17,0.0,0.0,17.6,250.2,998.1,24.3,2.9,304.8,26.2,9.0,4.0,0.0,851.0,normal
17,37.2,25.9,32.1,46.8,25.9,36.3,22.4,58.7,0.7,100.0,4.17,0.0,0.0,14.4,197.4,997.1,39.5,2.0,298.2,25.9,9.0,4.0,0.0,8850.0,normal
18,37.2,24.6,30.7,41.0,24.6,33.8,23.1,67.8,48.1,100.0,8.33,0.0,0.0,10.8,230.8,997.1,41.0,2.0,271.3,23.4,8.0,4.0,0.0,7538.0,normal
